epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,24100.1,1.25132,0.96741,1.2913,0.71513,0.69731,0.76908,0.52762,0.72386,82.251,0.77188,0.005842,0.005842,0.005842
44,24659.7,1.25047,0.96436,1.2876,0.74881,0.70509,0.80431,0.55499,0.72043,77.6928,0.77271,0.005743,0.005743,0.005743
45,25219.3,1.2386,0.94796,1.28425,0.7171,0.68617,0.77004,0.53322,0.71459,79.7421,0.77067,0.005644,0.005644,0.005644
46,25778.8,1.22869,0.94662,1.27852,0.66084,0.71488,0.77059,0.53555,0.71649,82.2566,0.76835,0.005545,0.005545,0.005545
47,26338.3,1.23616,0.93877,1.27893,0.71729,0.72329,0.80588,0.56055,0.70992,81.8371,0.76308,0.005446,0.005446,0.005446
48,26897.9,1.22402,0.92837,1.26724,0.69036,0.71791,0.79265,0.55556,0.71116,80.9648,0.75696,0.005347,0.005347,0.005347
49,27457.2,1.21942,0.93167,1.27017,0.62941,0.78284,0.78194,0.54856,0.71079,81.9484,0.76617,0.005248,0.005248,0.005248
50,28016.5,1.21306,0.92191,1.27196,0.72983,0.73461,0.80782,0.56681,0.70543,80.3789,0.76213,0.005149,0.005149,0.005149
51,28576,1.20643,0.92514,1.27185,0.76306,0.70168,0.81148,0.57136,0.69665,75.5417,0.76151,0.00505,0.00505,0.00505
52,29135.5,1.20139,0.90902,1.26319,0.75479,0.7134,0.81557,0.57414,0.69673,85.3247,0.75593,0.004951,0.004951,0.004951
53,29695.4,1.20167,0.90706,1.26345,0.73466,0.73829,0.81842,0.5859,0.6938,83.1082,0.75875,0.004852,0.004852,0.004852
54,30255,1.19882,0.90016,1.25754,0.77117,0.73542,0.82995,0.59513,0.68678,82.3083,0.74237,0.004753,0.004753,0.004753
55,30815.1,1.19137,0.88847,1.25326,0.79133,0.7072,0.83475,0.60204,0.6871,84.876,0.74015,0.004654,0.004654,0.004654
56,31375.1,1.18826,0.88701,1.24957,0.77984,0.71493,0.83797,0.60728,0.6796,84.1018,0.7374,0.004555,0.004555,0.004555
57,31935.3,1.18436,0.88653,1.24508,0.78167,0.72728,0.83641,0.61188,0.67446,87.1827,0.73321,0.004456,0.004456,0.004456
58,32495.2,1.18261,0.88463,1.24667,0.69434,0.77201,0.81822,0.59513,0.67377,85.3725,0.73581,0.004357,0.004357,0.004357
59,33055.1,1.17359,0.85992,1.24286,0.77083,0.74862,0.83796,0.60878,0.67192,88.6337,0.73222,0.004258,0.004258,0.004258
60,33615.1,1.16592,0.86753,1.23564,0.78982,0.74388,0.85475,0.62676,0.66298,84.7685,0.72427,0.004159,0.004159,0.004159
61,34175.1,1.1672,0.85513,1.23646,0.77478,0.75693,0.86021,0.63068,0.66546,85.7037,0.72253,0.00406,0.00406,0.00406
62,34735.1,1.16389,0.8567,1.23193,0.7828,0.74995,0.86118,0.63105,0.66023,87.6079,0.72113,0.003961,0.003961,0.003961
